ADB Sovereign Projects 2005 onwards as of 9 January 2025,,,,,,,,,,,,,,,,,
Note: Projects with Active status are approved projects that have met the conditions for effectiveness for at least one of its sources of financing and is ready for or already undergoing implementation. Information about proposed projects is tentative and indicative.,,,,,,,,,,,,,,,,,
See http://www.adb.org/projects/terms-use for more on using ADB project data.,,,,,,,,,,,,,,,,,
Project Number,Project Name,Country,Financing,Project Type or Modality,Status,Approval Number,Approval Date,ADB Financing (US$),Geographical Location,Sector,Subsector,Safeguard - Environment,Safeguard - Indigenous People,Safeguard - Resettlement,Department,Executing Agency,Project Officer
47181-002,Water Resources Management in Pyanj River Basin Project,Tajikistan,Sovereign,Grant | Loan | Technical Assistance,Active,0498 | 0576 | 0577 | 0740 | 3434 | 9183 | 9188,28/09/2016,"46,500,000.00","Farkhor District, Hamadoni District, Vose' District","Agriculture, natural resources and rural development",Irrigation,B,C,C,Sectors Group,Agency for Land Reclamation and Irrigation,"Fazilova, Ganjina I."
47187-001,Pro-Poor Community Infrastructure and Basic Services,Myanmar,Sovereign,Grant,Active,9177,27/02/2014,0,,Water and other urban infrastructure and services,,B,C,C,Southeast Asia Department,Ministry of Construction,"Thu, Kyaw"
47190-002,Second Power Distribution Enhancement Investment Program,Pakistan,Sovereign,Loan,Active,0089,20/11/2015,"990,000,000.00",Nation-wide,Energy,Electricity transmission and distribution,,,,Sectors Group,,"Tareen, Adnan"
47190-003,Second Power Distribution Enhancement Investment Program - Tranche 1,Pakistan,Sovereign,Loan,Active,3328 | 3329,25/11/2015,"400,000,000.00","Nation-wide, Islamabad, Lahore",Energy,Electricity transmission and distribution,C,C,C,Sectors Group,Ministry of Water & Power,"Tareen, Adnan"
47243-004,Rural Connectivity Improvement Project,Bangladesh,Sovereign,Loan | Technical Assistance,Active,3731 | 3732 | 3932 | 4327 | 6007 | 9632,07/06/2016,"493,000,000.00","Nation-wide, B-baria City, Bogra, Chandpur, Chapai Nawabganj, Chittagong, Chuadanga, Comilla, Cox's Bazar, Dinajpur, Faridpur, Feni, Gaibandha, Gopalganj, Jessore, Jhenaidah Sardar UZ, Joypurhat, Kurigram, Kushtia, Laksmipur, Lalmanirhat, Madaripur, Magura, Meherpur, Naogaon, Narail, Natore, Nilphamari, Noakhali, Panchagarh, Rajbari, Rajshahi, Rangpur, Shariatpur, Thakurgaon","Agriculture, natural resources and rural development",Rural market infrastructure,B,C,C,Sectors Group,Local Government Engineering Department,"Das, Amrita Kumar"
47243-005,Rural Connectivity Improvement Project - Additional Financing,Bangladesh,Sovereign,Loan,Active,3932,11/06/2020,"100,000,000.00","Nation-wide, Dhaka","Agriculture, natural resources and rural development",Rural market infrastructure,B,C,C,South Asia Department,Local Government Engineering Department,"Das, Amrita Kumar"
47243-006,Rural Connectivity Improvement Project-Second Additional Financing,Bangladesh,Sovereign,Loan,Active,4327,10/07/2023,"190,000,000.00",Nation-wide,"Agriculture, natural resources and rural development",Rural market infrastructure,B,C,C,Sectors Group,Local Government Engineering Department,"Das, Amrita Kumar"
47252-002,Regional Urban Development Project,Nepal,Sovereign,Loan | Technical Assistance,Active,3566 | 9384,22/09/2017,"151,000,000.00","Bhimdatta N.P., Biratnagar, Birgunj, Dhangadhi, Godawari, Nepalgunj, Royal Shuklaphanta, Siddharthanagar",Water and other urban infrastructure and services,"Other urban services | Urban flood protection | Urban policy, institutional and capacity development | Urban sanitation | Urban solid waste management | Urban water supply",B,B,B,Sectors Group,Ministry of Urban Development,"Giri, Naresh"
47254-003,Dhaka Water Supply Network Improvement Project,Bangladesh,Sovereign,Loan,Active,3397,24/06/2016,"275,000,000.00",Dhaka,Water and other urban infrastructure and services,Urban water supply,B,C,B,Sectors Group,Dhaka Water Supply and Sewerage Authority,"Srivastava, Pushkar"
47273-002,Integrated Road Investment Program,Sri Lanka,Sovereign,Loan,Active,0086,25/09/2014,"800,000,000.00",,Transport,,,,,Sectors Group,,"Sinclair, Nirojan Donald"
47273-006,Integrated Road Investment Program (Tranche 4),Sri Lanka,Sovereign,Loan,Active,3610,04/12/2017,"150,000,000.00",Nation-wide,Transport,Road transport (non-urban),B,C,B,Sectors Group,Ministry of Highways,"Sinclair, Nirojan Donald"
47274-003,Secondary Green Cities Development Project,Viet Nam,Sovereign,Grant | Loan | Technical Assistance,Active,0549 | 0550 | 3590 | 3591 | 9417,31/10/2017,"170,000,000.00","Hue, Tinh Ha Giang, Vinh Yen",Transport | Water and other urban infrastructure and services,"Urban roads and traffic management | Other urban services | Urban flood protection | Urban policy, institutional and capacity development | Urban sanitation | Urban water supply",B,B,A,Sectors Group,Provincial People's Committee of Thua Thien Hue Province,"Nguyen, Binh My"
47279-002,Karachi Bus Rapid Transit Red Line Project,Pakistan,Sovereign,Grant | Loan,Active,0649 | 3799 | 8366 | 8367 | 8368,05/07/2019,"235,000,000.00",Karachi,Energy | Transport,Renewable energy generation - biomass and waste | Transport policies and institutional development | Urban public transport | Urban roads and traffic management,A,C,A,Sectors Group,Sindh Mass Transit Authority (SMTA),"Wright, Lloyd F."
47282-001,Energy Supply Improvement Investment Program (Formerly Multitranche Financing Facility II: Energy Development 2014-2023),Afghanistan,Sovereign,Grant | Loan,Active,0090,04/12/2015,"750,000,000.00","Nation-wide, Afghanistan",Energy,Electricity transmission and distribution,,,,Sectors Group,,ADB Disclosure
47282-003,Energy Supply Improvement Investment Program -Tranche 1,Afghanistan,Sovereign,Grant,Active,0464 | 0465,08/12/2015,"110,000,000.00","Baghlan, Balkh, Faryab, Samangan, Wilayat-e Jowzjan",Energy,Electricity transmission and distribution | Energy utility services,B,C,B,Sectors Group,,ADB Disclosure
47282-004,Energy Supply Improvement Investment Program Tranche 2 (Formerly Multitranche Financing Facility II: Energy Development 2014-2023),Afghanistan,Sovereign,Grant,Active,0521 | 0522 | 0523,05/12/2016,"58,628,345.00",Nation-wide,Energy,Electricity transmission and distribution,B,C,B,Sectors Group,,ADB Disclosure
47282-006,Energy Supply Improvement Investment Program Tranche 4 (Formerly Multitranche Financing Facility II: Energy Development 2014â€“2023),Afghanistan,Sovereign,Grant,Active,0556,07/12/2017,0,"Jalalabad, Kabul",Energy,Electricity transmission and distribution,B,C,B,Sectors Group,,ADB Disclosure
47282-007,Energy Supply Improvement Investment Program Tranche 6,Afghanistan,Sovereign,Grant,Active,0742,30/09/2020,"110,000,000.00",Nation-wide,Energy,Electricity transmission and distribution,B,C,B,Sectors Group,,ADB Disclosure
47282-008,Energy Supply Improvement Investment Program Tranche 5,Afghanistan,Sovereign,Grant,Active,0634,06/12/2018,"143,420,000.00",Nation-wide,Energy,Electricity transmission and distribution,B,C,B,Sectors Group,,ADB Disclosure
47282-009,Energy Supply Improvement Investment Program (Tranche 7),Afghanistan,Sovereign,Grant,Active,0769 | 0770,02/12/2020,"36,400,000.00",Nation-wide,Energy,Electricity transmission and distribution,B,C,A,Sectors Group,,ADB Disclosure
47284-002,"South Asia Subregional Economic Cooperation Transport, Trade Facilitation and Logistics Project",Bhutan,Sovereign,Grant | Loan,Active,0492 | 3421,31/08/2016,"19,610,000.00",Phuentsholing,Industry and trade | Transport,Trade and services | Road transport (non-urban),B,C,C,Sectors Group,Department of Surface Transport,"Chong, Sin Wai"
47296-001,Uzbekistan Power Transmission Improvement Project,Uzbekistan,Sovereign,Loan,Active,3285,22/09/2015,"150,000,000.00","Nation-wide, Karakalpakstan, Khiva",Energy,Electricity transmission and distribution,B,C,B,Sectors Group,Joint Stock Company National Electric Networks of Uzbekistan,"Musaev, Shokhimardon"
47300-002,Northern Smallholder Livestock Commercialization Project,Lao People's Democratic Republic,Sovereign,Grant | Loan,Active,3198,24/11/2014,"21,000,000.00",,"Agriculture, natural resources and rural development","Agricultural policy, institutional and capacity development | Livestock | Rural market infrastructure",B,B,B,Sectors Group,Ministry of Agriculture and Forestry-Irrigation Dep,"Zafar, Omer A."
47338-001,Emergency Assistance and Early Recovery for Poor Municipalities Affected by Typhoon Yolanda,Philippines,Sovereign,Grant,Active,9175,13/12/2013,0,,Public sector management,,C,C,C,Sectors Group,Department of Finance,"Morel, Alain X."
47341-001,South Asia Subregional Economic Cooperation Road Connectivity Investment Program,India,Sovereign,Loan,Active,0079,28/03/2014,"500,000,000.00",,Transport,,,,,South Asia Department,,Jagir Kumar
47356-001,Power Sector Development Investment Program,Papua New Guinea,Sovereign,Technical Assistance,Active,9428,22/11/2017,"1,200,000.00",,Energy,Energy sector development and institutional reform,,,,Sectors Group,Energy Division of the Department of Petroleum and Energy,"Baum, Peter C."
47356-002,Power Sector Development Project,Papua New Guinea,Sovereign,Grant | Loan,Active,4189 | 4190,15/06/2022,"208,600,000.00",Nation-wide,Energy,Energy sector development and institutional reform,B,C,B,Sectors Group,Department of Treasury,"Baum, Peter C."
47358-002,"Enhancing Safety, Security, and Sustainability of Apia Port Project",Samoa,Sovereign,Grant,Active,0654 | 6013,26/04/2018,"65,260,000.00",Apia Harbour Beacon (historical),Transport,Water transport (non-urban),B,C,C,Sectors Group,Ministry of Finance,"Idei, Rika"
47360-002,Khyber Pakhtunkhwa Provincial Roads Improvement Project,Pakistan,Sovereign,Loan,Active,3601 | 3602 | 3756,28/11/2017,"215,000,000.00",Khyber Pakhtunkhwa,Transport,Road transport (non-urban),B,C,B,Sectors Group,Government of Khyber Pakhtunkhwa (KP),"Ghafoor, Khurram"
47381-001,Mahaweli Water Security Investment Program,Sri Lanka,Sovereign,Loan,Active,0088,24/06/2015,"453,000,000.00","Dambulla, Elahera, Minipe","Agriculture, natural resources and rural development",Irrigation | Water-based natural resources management,,,,Sectors Group,,"Dabare, Krishanthi"
47381-002,Mahaweli Water Security Investment Program - Tranche 1,Sri Lanka,Sovereign,Loan,Active,3267 | 3268,02/07/2015,"150,000,000.00","Dambulla, Elahera, Minipe","Agriculture, natural resources and rural development",Irrigation | Water-based natural resources management,A,C,B,Sectors Group,"Ministry Agriculture, Livestock, Lands & Irrigation","Dabare, Krishanthi"
47381-005,Mahaweli Water Security Investment Program - Tranche 2,Sri Lanka,Sovereign,Loan,Active,3625 | 3626,13/12/2017,"210,000,000.00","Dambulla, Elahera, Minipe","Agriculture, natural resources and rural development",Water-based natural resources management,A,C,B,Sectors Group,"Ministry Agriculture, Livestock, Lands & Irrigation","Dabare, Krishanthi"
47381-006,Mahaweli Water Security Investment Program (Tranche 3),Sri Lanka,Sovereign,Loan,Active,4484,12/09/2024,"93,000,000.00","Dambulla, Elahera, Minipe","Agriculture, natural resources and rural development | Water and other urban infrastructure and services",Water-based natural resources management | Urban water supply,A,C,B,Sectors Group,"Ministry Agriculture, Livestock, Lands & Irrigation","Dabare, Krishanthi"
48015-002,Supporting the Credit Guarantee System for Economic Diversification and Employment Project,Mongolia,Sovereign,Loan | Technical Assistance,Active,3338 | 9000,27/11/2015,"60,800,000.00",Nation-wide,Finance,Small and medium enterprise finance and leasing,FI,FI-C,FI-C,Sectors Group,"Ministry of Food, Agriculture, and Light Industry (MOFALI)","Rosenkranz, Peter C."
48024-002,Chongqing Integrated Logistics Demonstration Project,"China, People's Republic of",Sovereign,Loan,Active,3459,14/11/2016,"150,000,000.00",Chongqing,Transport,Multimodal logistics | Water transport (non-urban),B,C,A,Sectors Group,Chongqing Municipal Government,"Lu, Lanlan"
48025-003,Central Asia Regional Economic Cooperation Corridor 2 (Pap-Namangan-Andijan) Railway Electrification Project,Uzbekistan,Sovereign,Loan,Active,3527 | 4000,21/04/2017,"201,000,000.00","Nation-wide, Andijan, Namangan, Pop-Nalivnoy",Transport,Rail transport (non-urban),B,C,B,Sectors Group,O'zbekiston Temir Yo'llari,"Murodov, Khurshidbek"
48033-002,Enhancing Road Safety for Central Asia Regional Economic Cooperation Member Countries (Phase 2),Regional,Sovereign,Technical Assistance,Active,6591,13/11/2020,"1,500,000.00",Afghanistan - Nation-wide; Azerbaijan - Nation-wide; China - Nation-wide; Georgia - Nation-wide; Kazakhstan - Nation-wide; Kyrgyz Republic - Nation-wide; Mongolia - Nation-wide; Pakistan - Nation-wide; Tajikistan - Nation-wide; Turkmenistan - Nation-wide; Uzbekistan - Nation-wide,Transport,Transport policies and institutional development,,,,Sectors Group,Asian Development Bank,"Mishra, Ritu"
48042-001,Panj-Amu River Basin Sector Project,Afghanistan,Sovereign,Grant,Active,0506 | 0507 | 0747,26/10/2016,"44,280,000.00","Badakhshan, Kunduz, Takhar","Agriculture, natural resources and rural development",Agricultural drainage | Irrigation | Rural flood protection,B,C,B,Sectors Group,,ADB Disclosure
48055-002,Jiangxi Xinyu Kongmu River Watershed Flood Control and Environmental Improvement Project,"China, People's Republic of",Sovereign,Loan,Active,3485,06/12/2016,"150,000,000.00",Xinyu,"Agriculture, natural resources and rural development | Water and other urban infrastructure and services",Rural flood protection | Water-based natural resources management | Urban flood protection | Urban sanitation | Urban solid waste management,B,C,A,Sectors Group,Xinyu City Government,"Zheng, Baochang"
48076-002,Ensuring Inclusiveness and Service Delivery for Persons with Disabilities Project,Mongolia,Sovereign,Grant | Loan,Active,3605 | 9191,28/11/2017,"25,000,000.00","Nation-wide, Arhangay Aymag, Darhan-Uul Aymag, Eastern Aymag, Khovd, Khovsgol, Middle Govi",Education | Health | Public sector management,Pre-primary and primary - social protection initiatives | Health sector development and reform | Social protection initiatives,B,C,C,Sectors Group,"Ministry of Family, Labor and Social Protection","Jigjidsuren, Altantuya"
48078-002,Second Power Transmission Enhancement Investment Program,Pakistan,Sovereign,Grant | Loan,Active,0092,23/08/2016,"810,000,000.00",Nation-wide,Energy,Electricity transmission and distribution,,,,Central and West Asia Department,,"Khattak, Ehtesham Zafar"
48078-003,Second Power Transmission Enhancement Investment Program - Tranche 1,Pakistan,Sovereign,Loan,Active,3419 | 3420,31/08/2016,"80,900,000.00","Faisalabad District, Guddu, Lahore, Rawat, Sahiwal",Energy,Electricity transmission and distribution,B,C,B,Sectors Group,National Transmission & Despatch Company Limited,"Khattak, Ehtesham Zafar"
48078-004,Second PowerTransmission Enhancement Investment Program - Tranche 2,Pakistan,Sovereign,Loan,Active,3577,29/09/2017,"260,000,000.00",Nation-wide,Energy,Electricity transmission and distribution,B,C,B,Sectors Group,National Transmission & Despatch Company Limited,"Khattak, Ehtesham Zafar"
48078-005,MFF Power Transmission Enhancement Investment Program II Tranche 3,Pakistan,Sovereign,Grant | Loan,Active,0578 | 3677,28/06/2018,"280,000,000.00",Nation-wide,Energy,Electricity transmission and distribution,B,C,A,Sectors Group,National Transmission & Despatch Company Limited,"Khattak, Ehtesham Zafar"
48078-006,Second Power Transmission Enhancement Investment Program (Tranche 4),Pakistan,Sovereign,Loan,Active,4271,08/12/2022,"189,000,000.00",Nation-wide,Energy,Electricity transmission and distribution,B,C,B,Sectors Group,National Transmission & Despatch Company Limited,"Mukhamedova, Takhmina"
48096-002,Arghandab Integrated Water Resources Development Project,Afghanistan,Sovereign,Grant,Active,0655 | 0656,11/09/2019,"348,780,000.00",Kandahar,"Agriculture, natural resources and rural development",Agricultural production | Irrigation | Water-based natural resources management,A,C,A,Sectors Group,,ADB Disclosure
48098-002,Balochistan Water Resources Development Sector Project,Pakistan,Sovereign,Grant | Loan | Technical Assistance,Active,0597 | 3700 | 9197 | 9576,31/08/2018,"100,000,000.00",Balochistan,"Agriculture, natural resources and rural development",Irrigation | Land-based natural resources management | Rural flood protection | Water-based natural resources management,A,C,B,Sectors Group,"Irrigation Department, Government of Balochistan",Muzaffar Bukhari
48102-002,Qinghai Haidong Urban-Rural Eco Development Project,"China, People's Republic of",Sovereign,Loan,Active,3443,19/10/2016,"150,000,000.00",Qinghai,"Agriculture, natural resources and rural development | Water and other urban infrastructure and services","Forestry | Land-based natural resources management | Rural flood protection | Rural solid waste management | Rural water supply services | Urban flood protection | Urban policy, institutional and capacity development | Urban solid waste management | Urban water supply",B,B,A,Sectors Group,Haidong Municipal Government,"Liu, Xinjian"
48118-002,Greater Mekong Subregion Health Security Project,Regional,Sovereign,Grant | Loan,Active,0516 | 3464 | 3465 | 3466 | 3467 | 3924 | 3990 | 4125 | 9223,22/11/2016,"200,000,000.00","Cambodia - Nation-wide, Banteay Meanchey, Battambang Province, Kampot, Kandal Province, Kratie, Mondol Kiri, Pailin, Preah Vihear, Prey Veng, Ratanakiri Province, Stung Treng, Svay Rieng Province, Takeo, Tboung Khmum; Lao People's Democratic Republic - Nation-wide, Attapu, Bokeo Province, Bolikhamsai Province, Champasak, Houaphan, Khammouan, Khoueng Oudomxai, Khoueng Phongsali, Khoueng Xekong, Louangnamtha, Salavan, Xiangkhouang; Myanmar - Nation-wide, Eastern Shan State, Kayah State, Kayin State, Mon State, Northern Shan State, Taninthayi Region; Viet Nam - Nation-wide, An Giang, Dak Nong, Gia Lai, Kon Tum, Tinh Bac Giang, Tinh Bac Kan, Tinh Bac Lieu, Tinh Binh Phuoc, Tinh Cao Bang, Tinh Dak Lak, Tinh Dien Bien, Tinh Ha Giang, Tinh Ha Nam, Tinh Ha Tinh, Tinh Hoa Binh, Tinh Kien Giang, Tinh Lai Chau, Tinh Lam Dong, Tinh Lang Son, Tinh Lao Cai, Tinh Nam Dinh, Tinh Nghe An, Tinh Ninh Binh, Tinh Ninh Thuan, Tinh Phu Tho, Tinh Quang Binh, Tinh Quang Nam, Tinh Quang Ngai, Tinh Quang Ninh, Tinh Quang Tri, Tinh Son La, Tinh Tay Ninh, Tinh Thanh Hoa, Tinh Vinh Long, Tinh Vinh Phuc, Tinh Yen Bai",Health,Health system development,B,B,C,Sectors Group,Ministry of Health,"Elfving, Rikard N."
48127-002,Second Strengthening Higher Education Project,Lao People's Democratic Republic,Sovereign,Grant | Loan,Active,0500 | 3435,29/09/2016,"39,920,000.00",Nation-wide,Education,Tertiary,B,C,C,Sectors Group,Ministry of Education and Sports,"Chanthy, Khamtanh"
48141-001,Transport Infrastructure Investment Sector Project (formerly Bridge Replacement Project),Fiji,Sovereign,Loan | Technical Assistance,Active,3210 | 8307 | 8777,05/12/2014,"100,700,000.00",Nation-wide,Transport,Road transport (non-urban) | Transport policies and institutional development | Water transport (non-urban),B,C,B,Sectors Group,Ministry of Economy,"Cerelala, Albert"
48158-002,Provincial Water Supply and Sanitation Project,Cambodia,Sovereign,Grant | Loan,Active,3630 | 8335,07/12/2017,"50,000,000.00","Battambang, Kampong Cham, Siem Reap, Sihanoukville",Water and other urban infrastructure and services,"Urban policy, institutional and capacity development | Urban sanitation | Urban water supply",B,C,B,Sectors Group,"Ministry of Industry, Science, Technology and Innovation","Ya, Samol"
48175-002,Third Greater Mekong Subregion Corridor Towns Development Project,Myanmar,Sovereign,Loan,Active,3663,31/05/2018,"80,000,000.00","Kayin State, Mon State",Water and other urban infrastructure and services,"Urban policy, institutional and capacity development | Urban solid waste management | Urban water supply",B,C,B,Sectors Group,Ministry of Construction,"Baird, Alan"
48186-005,Regional Road Development and Maintenance Project,Mongolia,Sovereign,Grant | Loan | Technical Assistance,Active,0644 | 3679 | 3786 | 9544,29/06/2018,"119,200,000.00","Nation-wide, Mongolia",Transport,Road transport (non-urban),B,C,B,Sectors Group,Ministry of Road and Transport of Mongolia,Enkh-Ulzii Bayarsaikhan
48186-008,Regional Road Development and Maintenance Project (Phase 3),Mongolia,Sovereign,Loan,Active,4342 | 4343,11/09/2023,"150,000,000.00","Nation-wide, Ulaanbaatar",Transport,Road transport (non-urban) | Transport policies and institutional development,B,C,C,Sectors Group,Ministry of Road and Transport of Mongolia,"Dei Castelli, Nicolas"
48186-009,Preparing Regional Road Development and Maintenance Projects,Mongolia,Sovereign,Technical Assistance,Active,6894,22/12/2021,"2,750,000.00","Nation-wide, Ulaanbaatar",Transport,Transport policies and institutional development,,,,Sectors Group,Ministry of Road and Transport of Mongolia,"Dei Castelli, Nicolas"
48189-002,Support to Border Areas Development Project,Viet Nam,Sovereign,Loan,Active,3499,08/12/2016,"106,510,000.00","Binh Phuoc, Dak Nong, Gia Lai, Kon Tum, Tinh Dak Lak",Industry and trade | Transport,Trade and services | Road transport (non-urban),B,B,B,Sectors Group,Binh Phuoc Provincial People's Committee,"Nguyen, Cuong Dinh"
48207-002,Financial Market Development and Inclusion Program (Subprogram 2),Indonesia,Sovereign,Loan | Technical Assistance,Active,3541 | 9333,28/06/2017,"401,500,000.00",Nation-wide,Finance,Finance sector development,C,C,C,Sectors Group,Ministry of Finance Directorate General of Budget Financing and Risk Management,"Jayawardana, Poornima G.W."
48218-003,Rural Connectivity Improvement Project,Nepal,Sovereign,Loan | Technical Assistance,Active,3620 | 9457,11/12/2017,"101,000,000.00","Central Region, Eastern Region, Western Region","Agriculture, natural resources and rural development",Rural market infrastructure,B,C,C,Sectors Group,Ministry of Urban Development,"Tiwari, Hemant"
48218-006,Nuts and Fruits in Hilly Areas Project,Nepal,Sovereign,Grant | Loan,Active,0845 | 0846 | 4211,12/09/2022,"70,000,000.00","Bagmati Province, Gandaki Pradesh, Karnali Pradesh, Province 1, Sudurpashchim Pradesh","Agriculture, natural resources and rural development","Agricultural policy, institutional and capacity development | Agricultural production | Agro-industry, marketing, and trade",B,B,C,Sectors Group,Ministry of Agriculture and Livestock Development,"Kim, Sunae"
48218-011,Rural Connectivity Improvement Project - Additional Financing,Nepal,Sovereign,Loan | Technical Assistance,Active,10113 | 4320,13/06/2023,"101,000,000.00","Bagmati Province, Gandaki, Karnali, Koshi, Lumbini Province","Agriculture, natural resources and rural development",Rural market infrastructure,B,C,B,Sectors Group,Ministry of Urban Development,"Tiwari, Hemant"
48218-012,Implementation Support for the Nuts and Fruits in Hilly Areas Project,Nepal,Sovereign,Technical Assistance,Active,6732,07/06/2021,"1,000,000.00","Bagmati Province, Gandaki Pradesh, Karnali Pradesh, Karnali Pradesh, Province 1, Sudurpashchim Pradesh","Agriculture, natural resources and rural development","Agricultural policy, institutional and capacity development | Agriculture research and application | Land-based natural resources management",,,,Sectors Group,Department of Agriculture,"Kim, Sunae"
48226-002,Second Rural Connectivity Investment Program,India,Sovereign,Loan | Technical Assistance,Active,0104 | 9430,29/11/2017,"500,500,000.00","Assam, Chhattisgarh, Madhya Pradesh, Odisha, West Bengal",Transport,Road transport (non-urban),,,,South Asia Department,,"Dodla, Shiva Raju"
48259-002,Strengthening the Enabling Environment for Disaster Risk Financing (Phase 2),Regional,Sovereign,Technical Assistance,Active,6561,09/09/2020,"1,000,000.00",Cambodia - Nation-wide; Kyrgyz Republic - Nation-wide; Nepal - Nation-wide; Pakistan - Nation-wide; Philippines - Nation-wide,Finance,Insurance and contractual savings,,,,Sectors Group,Asian Development Bank,"Chatterjee, Arup Kumar"
48274-002,Shanxi Urban-Rural Water Source Protection and Environmental Demonstration Project,"China, People's Republic of",Sovereign,Loan,Active,3557,22/08/2017,"100,000,000.00",Zuoquan Xian,"Agriculture, natural resources and rural development | Transport | Water and other urban infrastructure and services",Forestry | Rural flood protection | Rural water supply services | Urban roads and traffic management | Urban flood protection | Urban sewerage,B,C,A,Sectors Group,Zuoquan County Government,"Yee, Au Shion"
48289-002,Peshawar Sustainable Bus Rapid Transit Corridor Project,Pakistan,Sovereign,Loan,Active,3543 | 8336,23/11/2017,"335,000,000.00",Peshawar,Transport,Urban public transport | Urban roads and traffic management,A,C,A,Sectors Group,Khyber Pakhtunkhwa Urban Mobility Authority,"Wright, Lloyd F."
48317-001,Promoting Urban Climate Change Resilience in Selected Asian Cities,Regional,Sovereign,Technical Assistance,Active,0016,08/04/2015,0,Bangladesh - Nation-wide; India - Nation-wide; Indonesia - Nation-wide; Myanmar - Nation-wide; Pakistan - Nation-wide; Philippines - Nation-wide; Viet Nam - Nation-wide,Water and other urban infrastructure and services,,,,,Sustainable Development and Climate Change Department,Asian Development Bank,"Sharma, Virinder"
48322-001,Economic Empowerment of the Poor and Women in the East-West Economic Corridor,Myanmar,Sovereign,Grant,Active,9184,15/12/2015,0,"Chaungzon, Kyaikhtaw, Mawlamyine, Mudon","Agriculture, natural resources and rural development",,C,B,C,Southeast Asia Department,Ministry of Hotels and Tourism,"Dina, Stefania"
48335-002,Central Asia Regional Economic Cooperation: Knowledge Sharing and Services in Transport and Transport Facilitation (Phase 2),Regional,Sovereign,Technical Assistance,Active,9754,02/07/2019,"2,400,000.00",Afghanistan - Nation-wide; Azerbaijan - Nation-wide; China - Nation-wide; Georgia - Nation-wide; Kazakhstan - Nation-wide; Kyrgyz Republic - Nation-wide; Mongolia - Nation-wide; Pakistan - Nation-wide; Tajikistan - Nation-wide; Turkmenistan - Nation-wide; Uzbekistan - Nation-wide,Transport,Transport policies and institutional development,,,,Sectors Group,Asian Development Bank,"Herz, Thomas"
48337-002,South Asia Subregional Economic Cooperation Roads Improvement Project,Nepal,Sovereign,Loan,Active,3478,01/12/2016,"186,800,000.00","Bhairahawa, Butwal, Lumbini, Narayangarh, Taulihawa",Transport,Road transport (non-urban),A,C,B,Sectors Group,Ministry of Physical Infrastructure and Transport,"Bhatt, Bhupendra Chandra"
48346-002,Solar Power Development Project,Solomon Islands,Sovereign,Grant,Active,0514 | 0515,21/11/2016,"2,240,000.00","Kirakira, Lata, Maluu, Munda, Tulaghi",Energy,Renewable energy generation - solar,B,C,B,Sectors Group,"Ministry of Mines, Energy and Rural Electrification","Elbling, Elmar"
48350-001,Infrastructure Public-Private Partnership Pipeline Development Support,Regional,Sovereign,Technical Assistance,Active,8908,23/06/2015,"3,750,000.00",Regional,Public sector management,Public administration,,,,Office of Markets Development and Public-Private Partnership,Asian Development Bank,"Steward, Helen"
48358-001,Shanxi Inclusive Agricultural Value Chain Development Project,"China, People's Republic of",Sovereign,Loan | Technical Assistance,Active,3567 | 9385,21/09/2017,"90,300,000.00","Nation-wide, Shanxi","Agriculture, natural resources and rural development","Agricultural policy, institutional and capacity development | Agricultural production | Agro-industry, marketing, and trade | Livestock",B,C,C,Sectors Group,"Bureau of Finance, Shanxi Province","Niu, Zhiming"
48373-007,Bihar New Ganga Bridge Project,India,Sovereign,Loan | Technical Assistance,Active,3396 | 9125,24/06/2016,"500,900,000.00",Bihar,Transport,Road transport (non-urban),A,C,A,Sectors Group,Bihar State Road Development Corporation Ltd.,Jagir Kumar
48374-002,Improving Project Readiness and Portfolio Management - Phase II,Sri Lanka,Sovereign,Technical Assistance,Active,6599,18/11/2020,"5,000,000.00",Nation-wide,"Agriculture, natural resources and rural development | Education | Energy | Finance | Health | Public sector management | Transport | Water and other urban infrastructure and services","Agricultural policy, institutional and capacity development | Irrigation | Education sector development - social protection initiatives | Secondary | Electricity transmission and distribution | Energy efficiency and conservation | Banking systems and nonbank financial institutions | Health system development | Economic affairs management | Road transport (non-urban) | Transport policies and institutional development | Urban policy, institutional and capacity development | Urban water supply",,,,South Asia Department,"Ministry of Finance, Economic Stabilization and National Policies","Dahanayake, Kamal P.S."
48386-004,Railway Sector Development Program,Azerbaijan,Sovereign,Loan | Technical Assistance,Active,3614 | 3615 | 8375 | 9439,06/12/2017,"401,000,000.00","Baku, Yalama",Transport,Rail transport (non-urban),B,C,B,Sectors Group,Ministry of Finance,"Sluijter, Jurgen"
48401-007,Central Asia Regional Economic Cooperation Corridors 1 and 3 Connector Road Project,Kyrgyz Republic,Sovereign,Grant | Loan,Active,0496 | 0621 | 3432 | 3730 | 6002,02/06/2015,"176,110,000.00","Bashkugandy, Epkin",Transport,Road transport (non-urban),B,C,B,Sectors Group,"Ministry of Transport, Architecture, Construction and Communications (formerly Ministry of Transport and Roads)","Eshenaliev, Mirdin Iskanderovich"
48404-002,Central Asia Regional Economic Cooperation Corridor Development Investment Program,Pakistan,Sovereign,Loan,Active,0101,26/09/2017,"800,000,000.00",Nation-wide,Transport,Road transport (non-urban),,,,Sectors Group,,"Mishra, Ritu"
