ADB Sovereign Projects 2005 onwards as of 9 January 2025,,,,,,,,,,,,,,,,,
Note: Projects with Active status are approved projects that have met the conditions for effectiveness for at least one of its sources of financing and is ready for or already undergoing implementation. Information about proposed projects is tentative and indicative.,,,,,,,,,,,,,,,,,
See http://www.adb.org/projects/terms-use for more on using ADB project data.,,,,,,,,,,,,,,,,,
Project Number,Project Name,Country,Financing,Project Type or Modality,Status,Approval Number,Approval Date,ADB Financing (US$),Geographical Location,Sector,Subsector,Safeguard - Environment,Safeguard - Indigenous People,Safeguard - Resettlement,Department,Executing Agency,Project Officer
40080-013,Ha Noi Metro Rail System Project (Line 3: Nhon-Ha Noi Station Section),Viet Nam,Sovereign,Loan,Active,2741 | 3363 | 3364 | 8302,10/12/2015,"357,800,000.00","Hoan Kiem, Hoan Kiem, Huyen Tu Liem, Minh Khai, Nhon, Thanh Pho Ha Noi, Xa Tay Tuu",Transport,Urban public transport,A,C,A,Sectors Group,Ha Noi City People's Committee,"Nguyen, Cuong Dinh"
40080-024,Strengthening Sustainable Urban Transport for Ha Noi Metro Line 3,Viet Nam,Sovereign,Loan,Active,3235 | 8291,12/12/2014,"4,200,000.00",,Transport,Urban public transport,B,C,C,Sectors Group,Ha Noi City People's Committee,"Nguyen, Cuong Dinh"
40255-033,Central Mekong Delta Region Connectivity Project,Viet Nam,Sovereign,Grant | Loan,Active,0353 | 3013,05/08/2013,"410,000,000.00","An Giang, Ben Pha Vam Cong, Cao Lanh, Huyen Cao Lanh, Huyen Lap Vo, Long Xuyen, Thanh Pho Can Tho, Thanh pho Long Xuyen, Tinh Dong Thap",Transport,Road transport (non-urban),A,C,A,Sectors Group,Ministry of Transport,"Nguyen, Cuong Dinh"
40333-022,Road Network Development Project I ( Bala Murghab to Leman),Afghanistan,Sovereign,Grant,Active,0081,28/09/2007,"176,000,000.00","Andkhoy, Andkhoy, Bala Murghab, Balkh, Hairatan, Kaldar, Khulm, Laman, Murghab, Naibabad, Pul-e Khumri, Puli Khumri, Qaisar, Qala i Naw, Qala-i-Naw, Sangalak-i-Kaisar, Shibirghan, Shibirghan",Transport,Road transport (non-urban),B,C,B,Sectors Group,,ADB Disclosure
40540-016,"South Asia Subregional Economic Cooperation Dhaka-Northwest Corridor Road Project, Phase 2",Bangladesh,Sovereign,Loan | Technical Assistance,Active,0103 | 9408,24/10/2017,"1,203,000,000.00","Chandra, Elenga, Hatikumrul, Jaydebpur, Rangpur, Tangail Sadar",Transport,Road transport (non-urban),,,,Sectors Group,,"Islam, Mohammad Nazrul"
40540-017,"South Asia Subregional Economic Cooperation Dhaka-Northwest Corridor Road Project, Phase 2 - Tranche 1",Bangladesh,Sovereign,Loan,Active,3592 | 3593,16/11/2017,"300,000,000.00","Chandra, Elenga, Hatikumrul, Jaydebpur, Rangpur, Tangail",Transport,Road transport (non-urban),B,C,A,Sectors Group,Roads and Highways Department,"Das, Amrita Kumar"
40540-019,"South Asia Subregional Economic Cooperation Dhaka-Northwest Corridor Road Project, Phase 2 (Tranche 3)",Bangladesh,Sovereign,Loan,Active,4389,20/11/2023,"300,000,000.00",Dhaka,Transport,Road transport (non-urban),B,C,A,Sectors Group,Ministry of Road Transport and Bridges,"Das, Amrita Kumar"
41076-044,Road Improvement and Institutional Development Project,Philippines,Sovereign,Loan,Active,2836 | 8267,15/12/2011,"62,000,000.00","Baguio City, Bauang, Butuan, Cabangan, Cagayan de Oro, Calinog, Candelaria, Carmen, Castillejos, Dipolog City, Guihulngan, Iloilo, Jaro, Kabacan, La Libertad, Manjuyod, Masinloc, Naguilian, Olongapo City, Palauig, Palo, Poblacion, Province of Agusan del Norte, Province of Benguet, Province of Iloilo, Province of La Union, Province of Leyte, Province of Misamis Oriental, Province of Negros Oriental, Province of North Cotabato, Province of Zambales, Province of Zamboanga del Norte, San Marcelino, San Narciso, Santa Cruz, Subic, Tanauan, Tolosa, Vallehermoso",Transport,Road transport (non-urban),B,C,C,Southeast Asia Department,Dept. of Public Works & Highways,"Kimura, Shuji"
41076-048,Improving Growth Corridors in Mindanao Road Sector Project,Philippines,Sovereign,Loan,Active,3631,14/12/2017,"380,000,000.00","Province of Zamboanga Sibugay, Province of Zamboanga del Norte, Zamboanga Peninsula",Transport,Road transport (non-urban),B,B,A,Sectors Group,Dept. of Public Works & Highways,"Sufa, Faela"
41193-014,Western Regional Road Corridor Investment Program,Mongolia,Sovereign,Loan,Active,0065,09/12/2011,"170,000,000.00",,Transport,,,,,Sectors Group,,"Stapleton, Rebecca"
